long_cid_ori,lat_cid_ori,nome_procedimento,SP_CIDADE_P_EXT,cidade_origem,cidade_do_procedimento,procedimento,total_ocorrencias
-52.3371,-31.7649,INTERNAÇÃO P/ QUIMIOTERAPIA DE LEUCEMIAS AGUDAS / CRÔNICAS AGUDIZADAS,Cidade do RS,PELOTAS,PORTO ALEGRE,304080039,12533
-51.2065,-30.0318,TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303160055,133062
-51.2065,-30.0318,TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303160047,133062
-50.7739,-29.5137,TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL,Cidade do RS,TRÊS COROAS,PORTO ALEGRE,303160039,1614
-51.2065,-30.0318,AJUSTE MEDICAMENTOSO DE SITUACOES NEUROLOGICAS AGUDIZADAS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303040017,133062
-51.0194,-30.0819,TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE),Cidade do RS,VIAMÃO,PORTO ALEGRE,303140151,18550
-51.145,-29.8276,TRATAMENTO DA FIBROSE CISTICA COM MANIFESTACOES PULMONARES,Cidade do RS,SAPUCAIA DO SUL,PORTO ALEGRE,303140020,7575
-52.0102,-28.9698,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,ANTA GORDA,PORTO ALEGRE,303010037,325
-52.3729,-30.1902,HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL),Cidade do RS,PANTANO GRANDE,PORTO ALEGRE,407040102,252
-51.2065,-30.0318,POSTECTOMIA,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,409050083,133062
-51.0194,-30.0819,CONIZACAO,Cidade do RS,VIAMÃO,PORTO ALEGRE,409060038,18550
-51.2065,-30.0318,TIMPANOPLASTIA (UNI / BILATERAL),Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,404010350,133062
-51.6113,-28.7799,TRATAMENTO CIRURGICO NAO ESTETICO DA ORELHA,Cidade do RS,NOVA PRATA,PORTO ALEGRE,413040232,1134
-51.2065,-30.0318,COLECISTECTOMIA VIDEOLAPAROSCOPICA,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,407030034,133062
-50.5828,-29.4404,VITRECTOMIA POSTERIOR COM INFUSÃO DE PERFLUOCARBONO/ÓLEO DE SILICONE/ENDOLASER,Cidade do RS,SÃO FRANCISCO DE PAULA,PORTO ALEGRE,405030177,1017
-51.2065,-30.0318,TRATAMENTO CIRURGICO DE ROTURA DO MENISCO COM MENISCECTOMIA PARCIAL / TOTAL,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,408050896,133062
-52.0436,-31.0046,ORQUIDOPEXIA UNILATERAL,Cidade do RS,CRISTAL,PORTO ALEGRE,409040134,439
-51.2065,-30.0318,INSTALACAO ENDOSCOPICA DE CATETER DUPLO J,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,409010170,133062
-51.0194,-30.0819,RESSECCAO ENDOSCOPICA DE TUMOR VESICAL EM ONCOLOGIA,Cidade do RS,VIAMÃO,PORTO ALEGRE,416010172,18550
-51.0194,-30.0819,SETORECTOMIA / QUADRANTECTOMIA,Cidade do RS,VIAMÃO,PORTO ALEGRE,410010111,18550
-51.2065,-30.0318,VITRECTOMIA POSTERIOR COM INFUSÃO DE PERFLUOCARBONO/ÓLEO DE SILICONE/ENDOLASER,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,405030177,133062
-51.2065,-30.0318,TRATAMENTO DE HIV / AIDS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303180072,133062
-51.8044,-29.4482,TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE APARENTADO (HOSPITAL DIA),Cidade do RS,TEUTÔNIA,PORTO ALEGRE,506020037,1418
-51.9928,-29.5148,INTERCORRENCIA POS TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS - NAO APARENTADO (HOSPITAL DIA),Cidade do RS,CRUZEIRO DO SUL,PORTO ALEGRE,506020010,749
-51.0194,-30.0819,TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE APARENTADO (HOSPITAL DIA),Cidade do RS,VIAMÃO,PORTO ALEGRE,506020037,18550
-52.3371,-31.7649,TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE APARENTADO (HOSPITAL DIA),Cidade do RS,PELOTAS,PORTO ALEGRE,506020037,12533
-51.2065,-30.0318,GASTRECTOMIA PARCIAL C/ OU S/ VAGOTOMIA,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,407010130,133062
-53.5023,-28.2833,CORRECAO DE HIPOSPADIA,Cidade do RS,PANAMBI,PORTO ALEGRE,409050040,1340
-51.2065,-30.0318,NEFROSTOMIA PERCUTANEA,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,409010294,133062
-51.2065,-30.0318,RESSUTURA DE PAREDE ABDOMINAL (POR DEISCENCIA TOTAL / EVISCERACAO),Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,407040242,133062
-51.1016,-29.9472,NEFROSTOMIA PERCUTANEA,Cidade do RS,CACHOEIRINHA,PORTO ALEGRE,409010294,10564
-51.7612,-29.9032,RESSECCAO ENDOSCOPICA DE TUMOR VESICAL EM ONCOLOGIA,Cidade do RS,GENERAL CÂMARA,PORTO ALEGRE,416010172,802
-51.2065,-30.0318,RESSECCAO ENDOSCOPICA DE LESAO VESICAL,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,409010383,133062
-51.2065,-30.0318,FACOEMULSIFICACAO C/ IMPLANTE DE LENTE INTRA-OCULAR DOBRAVEL,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,405050372,133062
-51.2065,-30.0318,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,415040035,133062
-51.0809,-29.9914,TRAQUEOPLASTIA E/OU LARINGOTRAQUEOPLASTIA,Cidade do RS,ALVORADA,PORTO ALEGRE,412010100,18298
-51.2065,-30.0318,VASECTOMIA,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,409040240,133062
-51.1016,-29.9472,DEBRIDAMENTO DE FASCEITE NECROTIZANTE,Cidade do RS,CACHOEIRINHA,PORTO ALEGRE,415040027,10564
-51.0194,-30.0819,TRATAMENTO DE OUTRAS DOENCAS DO SANGUE E DOS ORGAOS HEMATOPOETICOS,Cidade do RS,VIAMÃO,PORTO ALEGRE,303020083,18550
-50.0644,-29.5782,TRATAMENTO DE CHOQUE CARDIOGENICO,Cidade do RS,TERRA DE AREIA,PORTO ALEGRE,303060069,610
-51.2065,-30.0318,TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303100044,133062
-51.3991,-30.6683,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO),Cidade do RS,TAPES,PORTO ALEGRE,303040149,1474
-51.0194,-30.0819,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,VIAMÃO,PORTO ALEGRE,303010037,18550
-51.2065,-30.0318,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO),Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303040149,133062
-51.2065,-30.0318,TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303070110,133062
-51.2065,-30.0318,TRATAMENTO DE OUTRAS DOENÇAS CAUSADAS POR VÍRUS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303010193,133062
-51.0809,-29.9914,TRATAMENTO DE INSUFICIENCIA RENAL CRONICA,Cidade do RS,ALVORADA,PORTO ALEGRE,305020056,18298
-51.2065,-30.0318,HISTEROSCOPIA CIRURGICA C/ RESSECTOSCOPIO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,409060178,133062
-50.9869,-29.9413,METASTASECTOMIA PULMONAR UNI OU BILATERAL (QUALQUER METODO),Cidade do RS,GRAVATAÍ,PORTO ALEGRE,412050145,17663
-51.2065,-30.0318,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,408050012,133062
-51.0809,-29.9914,ANASTOMOSE BILEO-DIGESTIVA,Cidade do RS,ALVORADA,PORTO ALEGRE,407030018,18298
-51.0194,-30.0819,QUIMIOEMBOLIZAÇÃO DE CARCINOMA HEPÁTICO,Cidade do RS,VIAMÃO,PORTO ALEGRE,416040195,18550
-51.0809,-29.9914,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT),Cidade do RS,ALVORADA,PORTO ALEGRE,406040052,18298
-51.2065,-30.0318,CERCLAGEM DE COLO DO UTERO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,409060011,133062
-51.0809,-29.9914,HISTEROSCOPIA CIRURGICA C/ RESSECTOSCOPIO,Cidade do RS,ALVORADA,PORTO ALEGRE,409060178,18298
-50.7734,-29.8798,CONIZACAO,Cidade do RS,GLORINHA,PORTO ALEGRE,409060038,558
-50.2337,-30.2419,LAPAROTOMIA EXPLORADORA,Cidade do RS,BALNEÁRIO PINHAL,PORTO ALEGRE,407040161,1395
-50.2337,-30.2419,PERITONIOSTOMIA C/ TELA INORGANICA,Cidade do RS,BALNEÁRIO PINHAL,PORTO ALEGRE,407040200,1395
-51.2065,-30.0318,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (C/ STENT NAO RECOBERTO),Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,406040060,133062
-50.9869,-29.9413,ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT),Cidade do RS,GRAVATAÍ,PORTO ALEGRE,406040052,17663
-51.2065,-30.0318,ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE STENT,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,406030030,133062
-50.5103,-30.2535,HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL),Cidade do RS,PALMARES DO SUL,PORTO ALEGRE,407040102,1077
-50.1322,-29.9841,DERIVACAO VENTRICULAR P/ PERITONEO / ATRIO / PLEURA / RAQUE,Cidade do RS,TRAMANDAÍ,PORTO ALEGRE,403010101,4010
-53.558,-27.3596,ARITENOIDECTOMIA COM LARINGOFISSURA,Cidade do RS,PALMITINHO,PORTO ALEGRE,404010431,779
-49.8895,-29.5439,LAPAROTOMIA EXPLORADORA,Cidade do RS,ARROIO DO SAL,PORTO ALEGRE,407040161,484
-51.3233,-30.1086,LAPAROTOMIA EXPLORADORA,Cidade do RS,GUAÍBA,PORTO ALEGRE,407040161,6982
-51.2065,-30.0318,LAPAROTOMIA EXPLORADORA,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,407040161,133062
-51.0809,-29.9914,COLOCACAO PERCUTANEA DE FILTRO DE VEIA CAVA (NA TROMBOSE VENOSA PERIFERICA E EMBOLIA PULMONAR),Cidade do RS,ALVORADA,PORTO ALEGRE,406040141,18298
-50.5819,-29.6462,FIBRINOLISE INTRAVASCULAR POR CATETER,Cidade do RS,ROLANTE,PORTO ALEGRE,406040230,2750
-50.5819,-29.6462,DERIVACAO VENTRICULAR P/ PERITONEO / ATRIO / PLEURA / RAQUE,Cidade do RS,ROLANTE,PORTO ALEGRE,403010101,2750
-51.2065,-30.0318,DERIVACAO VENTRICULAR P/ PERITONEO / ATRIO / PLEURA / RAQUE,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,403010101,133062
-51.1498,-29.7545,IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO PRINCIPAL),Cidade do RS,SÃO LEOPOLDO,PORTO ALEGRE,406020078,11268
-51.6187,-30.0847,TRAQUEOSCOPIA,Cidade do RS,ELDORADO DO SUL,PORTO ALEGRE,209040033,2825
-51.0809,-29.9914,ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS,Cidade do RS,ALVORADA,PORTO ALEGRE,406030022,18298
-50.8312,-29.6243,ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS C/ STENT NAO RECOBERTO,Cidade do RS,PAROBÉ,PORTO ALEGRE,406040109,4299
-51.2065,-30.0318,COLOSTOMIA,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,407020101,133062
-51.2065,-30.0318,DEBRIDAMENTO DE FASCEITE NECROTIZANTE,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,415040027,133062
-51.2065,-30.0318,PARTO NORMAL EM GESTACAO DE ALTO RISCO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,310010047,133062
-51.2065,-30.0318,PARTO CESARIANO EM GESTACAO DE ALTO RISCO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,411010026,133062
-51.2065,-30.0318,PARTO NORMAL,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,310010039,133062
-51.2065,-30.0318,PARTO CESARIANO,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,411010034,133062
-51.2065,-30.0318,PARTO CESARIANO C/ LAQUEADURA TUBARIA,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,411010042,133062
-50.9869,-29.9413,PARTO CESARIANO C/ LAQUEADURA TUBARIA,Cidade do RS,GRAVATAÍ,PORTO ALEGRE,411010042,17663
-50.9869,-29.9413,PARTO NORMAL EM GESTACAO DE ALTO RISCO,Cidade do RS,GRAVATAÍ,PORTO ALEGRE,310010047,17663
-51.145,-29.8276,PARTO NORMAL EM GESTACAO DE ALTO RISCO,Cidade do RS,SAPUCAIA DO SUL,PORTO ALEGRE,310010047,7575
-51.8043,-30.8489,PARTO CESARIANO EM GESTACAO DE ALTO RISCO,Cidade do RS,CAMAQUÃ,PORTO ALEGRE,411010026,4371
-51.0809,-29.9914,PARTO NORMAL,Cidade do RS,ALVORADA,PORTO ALEGRE,310010039,18298
-51.0194,-30.0819,PARTO NORMAL,Cidade do RS,VIAMÃO,PORTO ALEGRE,310010039,18550
-51.2065,-30.0318,TRATAMENTO DE ARRITMIAS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303060026,133062
-50.9869,-29.9413,TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES,Cidade do RS,GRAVATAÍ,PORTO ALEGRE,303140046,17663
-51.1016,-29.9472,TRATAMENTO DE PERICARDITE,Cidade do RS,CACHOEIRINHA,PORTO ALEGRE,303060271,10564
-51.2065,-30.0318,TRATAMENTO DE INSUFICIENCIA RENAL CRONICA,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,305020056,133062
-51.0809,-29.9914,TRATAMENTO DE ESTAFILOCOCCIAS,Cidade do RS,ALVORADA,PORTO ALEGRE,303080060,18298
-51.2065,-30.0318,TRATAMENTO DE POLINEUROPATIAS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303040262,133062
-51.0194,-30.0819,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO,Cidade do RS,VIAMÃO,PORTO ALEGRE,303070102,18550
-51.2065,-30.0318,TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303070099,133062
-51.1016,-29.9472,TRATAMENTO DE INSUFICIENCIA CARDIACA,Cidade do RS,CACHOEIRINHA,PORTO ALEGRE,303060212,10564
-51.0809,-29.9914,TRATAMENTO DE DOENÇAS INFECCIOSAS E INTESTINAIS,Cidade do RS,ALVORADA,PORTO ALEGRE,303010061,18298
-50.9869,-29.9413,TRATAMENTO DE TRAUMATISMOS C/ LESAO DE ORGAO INTRA-TORACICO E INTRA-ABDOMINAL,Cidade do RS,GRAVATAÍ,PORTO ALEGRE,308010035,17663
-51.1498,-29.7545,TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA,Cidade do RS,SÃO LEOPOLDO,PORTO ALEGRE,303060204,11268
-51.0809,-29.9914,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO,Cidade do RS,ALVORADA,PORTO ALEGRE,303140135,18298
-51.2065,-30.0318,TRATAMENTO DE DEFEITOS DA COAGULACAO PURPURA E OUTRAS AFECCOES HEMORRAGICAS,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303020067,133062
-51.0809,-29.9914,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,ALVORADA,PORTO ALEGRE,303010037,18298
-51.0809,-29.9914,TRATAMENTO DE INSUFICIENCIA CARDIACA,Cidade do RS,ALVORADA,PORTO ALEGRE,303060212,18298
-51.3233,-30.1086,TRATAMENTO DE EFEITOS DA PENETRACAO DE CORPO ESTRANHO EM ORIFICIO NATURAL,Cidade do RS,GUAÍBA,PORTO ALEGRE,308030010,6982
-51.1857,-29.9128,TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS,Cidade do RS,CANOAS,PORTO ALEGRE,303070129,29553
-52.3371,-31.7649,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO,Cidade do RS,PELOTAS,PORTO ALEGRE,304100021,12533
-51.2065,-30.0318,"TRATAMENTO DE EDEMA, PROTEINURIA E TRANSTORNOS HIPERTENSIVOS NA GRAVIDEZ PARTO E PUERPERIO",Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,303100036,133062
-51.2065,-30.0318,TRATAMENTO DE INSUFICIENCIA RENAL AGUDA,Cidade do RS,PORTO ALEGRE,PORTO ALEGRE,305020048,133062
-51.0809,-29.9914,TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS,Cidade do RS,ALVORADA,PORTO ALEGRE,303140097,18298
-51.0194,-30.0819,TRATAMENTO DE DOENCAS DO FIGADO,Cidade do RS,VIAMÃO,PORTO ALEGRE,303070072,18550
-50.1322,-29.9841,TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO,Cidade do RS,TRAMANDAÍ,PORTO ALEGRE,304100013,4010
-51.3233,-30.1086,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO,Cidade do RS,GUAÍBA,PORTO ALEGRE,304100021,6982
